year,county,state,county_name,income,perc_change,est_mortgage,income_needed,actual_needed_diff,actual_needed_ratio
 2020,Mcculloch,TX,"Mcculloch, TX",42301,6,622,26657,15644,1.59
 2021,Mcculloch,TX,"Mcculloch, TX",45744,8,559,23957,21787,1.91
 2019,Mccurtain,OK,"Mccurtain, OK",35030,0,1922,82371,-47341,0.43
 2020,Mccurtain,OK,"Mccurtain, OK",37605,7,2001,85757,-48152,0.44
 2021,Mccurtain,OK,"Mccurtain, OK",42574,13,2921,125186,-82612,0.34
 2019,Mcdonald,MO,"Mcdonald, MO",29020,0,857,36729,-7709,0.79
 2020,Mcdonald,MO,"Mcdonald, MO",31657,9,906,38829,-7172,0.82
 2021,Mcdonald,MO,"Mcdonald, MO",35275,11,1555,66643,-31368,0.53
 2019,Mcdonough,IL,"Mcdonough, IL",40509,0,413,17700,22809,2.29
 2020,Mcdonough,IL,"Mcdonough, IL",44477,10,398,17057,27420,2.61
 2021,Mcdonough,IL,"Mcdonough, IL",48261,9,315,13500,34761,3.57
 2019,Mcdowell,NC,"Mcdowell, NC",36377,0,1236,52971,-16594,0.69
 2020,Mcdowell,NC,"Mcdowell, NC",39398,8,1526,65400,-26002,0.6
 2021,Mcdowell,NC,"Mcdowell, NC",42960,9,1933,82843,-39883,0.52
 2019,Mcdowell,WV,"Mcdowell, WV",28919,0,240,10286,18633,2.81
 2020,Mcdowell,WV,"Mcdowell, WV",31221,8,242,10371,20850,3.01
 2021,Mcdowell,WV,"Mcdowell, WV",34141,9,222,9514,24627,3.59
 2019,Mcduffie,GA,"Mcduffie, GA",37325,0,958,41057,-3732,0.91
 2020,Mcduffie,GA,"Mcduffie, GA",40949,10,902,38657,2292,1.06
 2021,Mcduffie,GA,"Mcduffie, GA",43362,6,1097,47014,-3652,0.92
 2019,Mchenry,IL,"Mchenry, IL",56744,0,1329,56957,-213,1
 2020,Mchenry,IL,"Mchenry, IL",59737,5,1352,57943,1794,1.03
 2021,Mchenry,IL,"Mchenry, IL",64119,7,1435,61500,2619,1.04
 2019,Mchenry,ND,"Mchenry, ND",55062,0,526,22543,32519,2.44
 2020,Mchenry,ND,"Mchenry, ND",62880,14,566,24257,38623,2.59
 2021,Mchenry,ND,"Mchenry, ND",72140,15,679,29100,43040,2.48
 2019,Mcintosh,GA,"Mcintosh, GA",40536,0,1236,52971,-12435,0.77
 2020,Mcintosh,GA,"Mcintosh, GA",44683,10,1559,66814,-22131,0.67
 2021,Mcintosh,GA,"Mcintosh, GA",47287,6,1612,69086,-21799,0.68
 2019,Mcintosh,ND,"Mcintosh, ND",59208,0,395,16929,42279,3.5
 2020,Mcintosh,ND,"Mcintosh, ND",70439,19,397,17014,53425,4.14
 2021,Mcintosh,ND,"Mcintosh, ND",80675,15,333,14271,66404,5.65
 2019,Mcintosh,OK,"Mcintosh, OK",37404,0,797,34157,3247,1.1
 2020,Mcintosh,OK,"Mcintosh, OK",40174,7,864,37029,3145,1.08
 2021,Mcintosh,OK,"Mcintosh, OK",42241,5,1210,51857,-9616,0.81
 2019,Mckean,PA,"Mckean, PA",45010,0,383,16414,28596,2.74
 2020,Mckean,PA,"Mckean, PA",48118,7,395,16929,31189,2.84
 2021,Mckean,PA,"Mckean, PA",51169,6,607,26014,25155,1.97
 2019,Mckenzie,ND,"Mckenzie, ND",70441,0,1477,63300,7141,1.11
 2020,Mckenzie,ND,"Mckenzie, ND",66159,-6,1765,75643,-9484,0.87
 2021,Mckenzie,ND,"Mckenzie, ND",72258,9,1323,56700,15558,1.27
 2019,Mckinley,NM,"Mckinley, NM",28158,0,648,27771,387,1.01
 2020,Mckinley,NM,"Mckinley, NM",31889,13,807,34586,-2697,0.92
 2021,Mckinley,NM,"Mckinley, NM",34939,10,897,38443,-3504,0.91
 2019,Mclean,IL,"Mclean, IL",50152,0,789,33814,16338,1.48
 2020,Mclean,IL,"Mclean, IL",55203,10,763,32700,22503,1.69
 2021,Mclean,IL,"Mclean, IL",58503,6,715,30643,27860,1.91
 2019,Mclean,KY,"Mclean, KY",39711,0,559,23957,15754,1.66
 2020,Mclean,KY,"Mclean, KY",41707,5,638,27343,14364,1.53
 2021,Mclean,KY,"Mclean, KY",50679,22,708,30343,20336,1.67
 2019,Mclean,ND,"Mclean, ND",59239,0,794,34029,25210,1.74
 2020,Mclean,ND,"Mclean, ND",64151,8,797,34157,29994,1.88
 2021,Mclean,ND,"Mclean, ND",76889,20,1323,56700,20189,1.36
 2019,Mclennan,TX,"Mclennan, TX",42601,0,1065,45643,-3042,0.93
 2020,Mclennan,TX,"Mclennan, TX",45808,8,1091,46757,-949,0.98
 2021,Mclennan,TX,"Mclennan, TX",49512,8,1441,61757,-12245,0.8
 2019,Mcleod,MN,"Mcleod, MN",48098,0,956,40971,7127,1.17
 2020,Mcleod,MN,"Mcleod, MN",52942,10,1142,48943,3999,1.08
 2021,Mcleod,MN,"Mcleod, MN",56689,7,1250,53571,3118,1.06
 2019,Mcminn,TN,"Mcminn, TN",37942,0,794,34029,3913,1.11
 2020,Mcminn,TN,"Mcminn, TN",40753,7,823,35271,5482,1.16
 2021,Mcminn,TN,"Mcminn, TN",43715,7,1196,51257,-7542,0.85
 2019,Mcmullen,TX,"Mcmullen, TX",94047,0,719,30814,63233,3.05
 2020,Mcmullen,TX,"Mcmullen, TX",89304,-5,695,29786,59518,3
 2021,Mcmullen,TX,"Mcmullen, TX",110273,24,766,32829,77444,3.36
 2019,Mcnairy,TN,"Mcnairy, TN",33591,0,589,25243,8348,1.33
 2020,Mcnairy,TN,"Mcnairy, TN",35878,7,700,30000,5878,1.2
 2021,Mcnairy,TN,"Mcnairy, TN",38354,7,964,41314,-2960,0.93
 2019,Mcpherson,KS,"Mcpherson, KS",52871,0,760,32571,20300,1.62
 2020,Mcpherson,KS,"Mcpherson, KS",55947,6,812,34800,21147,1.61
 2021,Mcpherson,KS,"Mcpherson, KS",57951,4,694,29743,28208,1.95
 2021,Mcpherson,NE,"Mcpherson, NE",63343,-7,335,14357,48986,4.41
 2019,Mcpherson,SD,"Mcpherson, SD",41577,0,704,30171,11406,1.38
 2020,Mcpherson,SD,"Mcpherson, SD",55802,34,163,6986,48816,7.99
 2021,Mcpherson,SD,"Mcpherson, SD",65047,17,1037,44443,20604,1.46
 2019,Meade,KS,"Meade, KS",59202,0,529,22671,36531,2.61
 2020,Meade,KS,"Meade, KS",67486,14,474,20314,47172,3.32
 2021,Meade,KS,"Meade, KS",74713,11,542,23229,51484,3.22
 2019,Meade,KY,"Meade, KY",39859,0,894,38314,1545,1.04
 2020,Meade,KY,"Meade, KY",43040,8,1004,43029,11,1
 2021,Meade,KY,"Meade, KY",46893,9,1405,60214,-13321,0.78
 2019,Meade,SD,"Meade, SD",43775,0,1220,52286,-8511,0.84
 2020,Meade,SD,"Meade, SD",47918,10,1594,68314,-20396,0.7
 2021,Meade,SD,"Meade, SD",50972,6,2156,92400,-41428,0.55
 2019,Meagher,MT,"Meagher, MT",44049,0,1368,58629,-14580,0.75
 2020,Meagher,MT,"Meagher, MT",46482,6,1121,48043,-1561,0.97
 2021,Meagher,MT,"Meagher, MT",46835,1,2192,93943,-47108,0.5
 2019,Mecklenburg,NC,"Mecklenburg, NC",63805,0,1748,74914,-11109,0.85
 2020,Mecklenburg,NC,"Mecklenburg, NC",66863,5,1819,77957,-11094,0.86
 2021,Mecklenburg,NC,"Mecklenburg, NC",71836,7,2108,90343,-18507,0.8
 2019,Mecklenburg,VA,"Mecklenburg, VA",37981,0,926,39686,-1705,0.96
 2020,Mecklenburg,VA,"Mecklenburg, VA",41430,9,1009,43243,-1813,0.96
 2021,Mecklenburg,VA,"Mecklenburg, VA",46019,11,1277,54729,-8710,0.84
 2019,Mecosta,MI,"Mecosta, MI",37154,0,768,32914,4240,1.13
 2020,Mecosta,MI,"Mecosta, MI",41440,12,925,39643,1797,1.05
 2021,Mecosta,MI,"Mecosta, MI",44177,7,991,42471,1706,1.04
 2019,Medina,OH,"Medina, OH",58080,0,1381,59186,-1106,0.98
 2020,Medina,OH,"Medina, OH",60816,5,1403,60129,687,1.01
 2021,Medina,OH,"Medina, OH",64371,6,1623,69557,-5186,0.93
 2019,Medina,TX,"Medina, TX",44514,0,1409,60386,-15872,0.74
 2020,Medina,TX,"Medina, TX",46766,5,1466,62829,-16063,0.74
 2021,Medina,TX,"Medina, TX",50076,7,1881,80614,-30538,0.62
 2019,Meeker,MN,"Meeker, MN",45003,0,997,42729,2274,1.05
 2020,Meeker,MN,"Meeker, MN",49515,10,949,40671,8844,1.22
 2021,Meeker,MN,"Meeker, MN",53728,9,1200,51429,2299,1.04
 2019,Meigs,OH,"Meigs, OH",36845,0,647,27729,9116,1.33
 2020,Meigs,OH,"Meigs, OH",40789,11,451,19329,21460,2.11
 2021,Meigs,OH,"Meigs, OH",43469,7,798,34200,9269,1.27
 2019,Meigs,TN,"Meigs, TN",34639,0,1510,64714,-30075,0.54
 2020,Meigs,TN,"Meigs, TN",37645,9,1551,66471,-28826,0.57
 2021,Meigs,TN,"Meigs, TN",39452,5,2237,95871,-56419,0.41
 2020,Mellette,SD,"Mellette, SD",35580,15,263,11271,24309,3.16
 2021,Mellette,SD,"Mellette, SD",43805,23,367,15729,28076,2.78
 2019,Menard,IL,"Menard, IL",46275,0,720,30857,15418,1.5
 2020,Menard,IL,"Menard, IL",50478,9,829,35529,14949,1.42
 2021,Menard,IL,"Menard, IL",55848,11,764,32743,23105,1.71
 2019,Menard,TX,"Menard, TX",41428,0,1835,78643,-37215,0.53
 2020,Menard,TX,"Menard, TX",44122,7,462,19800,24322,2.23
 2021,Menard,TX,"Menard, TX",47390,7,2859,122529,-75139,0.39
 2019,Mendocino,CA,"Mendocino, CA",48013,0,2821,120900,-72887,0.4
 2020,Mendocino,CA,"Mendocino, CA",53087,11,2950,126429,-73342,0.42
 2021,Mendocino,CA,"Mendocino, CA",56047,6,3621,155186,-99139,0.36
 2019,Menifee,KY,"Menifee, KY",33644,0,404,17314,16330,1.94
 2020,Menifee,KY,"Menifee, KY",37592,12,475,20357,17235,1.85
 2021,Menifee,KY,"Menifee, KY",41028,9,650,27857,13171,1.47
 2019,Menominee,MI,"Menominee, MI",41962,0,669,28671,13291,1.46
 2020,Menominee,MI,"Menominee, MI",45802,9,668,28629,17173,1.6
 2021,Menominee,MI,"Menominee, MI",48873,7,704,30171,18702,1.62
 2019,Menominee,WI,"Menominee, WI",36500,0,1733,74271,-37771,0.49
 2020,Menominee,WI,"Menominee, WI",39554,8,1365,58500,-18946,0.68
 2021,Menominee,WI,"Menominee, WI",43212,9,2378,101914,-58702,0.42
 2019,Merced,CA,"Merced, CA",38626,0,1465,62786,-24160,0.62
 2020,Merced,CA,"Merced, CA",43980,14,1574,67457,-23477,0.65
 2021,Merced,CA,"Merced, CA",46580,6,2026,86829,-40249,0.54
 2019,Mercer,IL,"Mercer, IL",45401,0,443,18986,26415,2.39
 2020,Mercer,IL,"Mercer, IL",51623,14,485,20786,30837,2.48
 2021,Mercer,IL,"Mercer, IL",57676,12,449,19243,38433,3
 2019,Mercer,KY,"Mercer, KY",37023,0,958,41057,-4034,0.9
 2020,Mercer,KY,"Mercer, KY",39945,8,995,42643,-2698,0.94
 2021,Mercer,KY,"Mercer, KY",43163,8,1002,42943,220,1.01
 2019,Mercer,MO,"Mercer, MO",32105,0,658,28200,3905,1.14
 2020,Mercer,MO,"Mercer, MO",35568,11,362,15514,20054,2.29
 2021,Mercer,MO,"Mercer, MO",37104,4,602,25800,11304,1.44
 2019,Mercer,ND,"Mercer, ND",58481,0,785,33643,24838,1.74
 2020,Mercer,ND,"Mercer, ND",60817,4,729,31243,29574,1.95
 2021,Mercer,ND,"Mercer, ND",65113,7,707,30300,34813,2.15
 2019,Mercer,NJ,"Mercer, NJ",68721,0,1367,58586,10135,1.17
 2020,Mercer,NJ,"Mercer, NJ",71990,5,1646,70543,1447,1.02
 2021,Mercer,NJ,"Mercer, NJ",77911,8,1532,65657,12254,1.19
 2019,Mercer,OH,"Mercer, OH",50173,0,694,29743,20430,1.69
 2020,Mercer,OH,"Mercer, OH",54089,8,792,33943,20146,1.59
 2021,Mercer,OH,"Mercer, OH",59089,9,891,38186,20903,1.55
 2019,Mercer,PA,"Mercer, PA",42598,0,623,26700,15898,1.6
 2020,Mercer,PA,"Mercer, PA",46310,9,649,27814,18496,1.66
 2021,Mercer,PA,"Mercer, PA",49311,7,715,30643,18668,1.61
 2019,Mercer,WV,"Mercer, WV",38251,0,647,27729,10522,1.38
 2020,Mercer,WV,"Mercer, WV",41102,8,594,25457,15645,1.61
 2021,Mercer,WV,"Mercer, WV",44564,8,696,29829,14735,1.49
 2019,Meriwether,GA,"Meriwether, GA",37093,0,738,31629,5464,1.17
 2020,Meriwether,GA,"Meriwether, GA",40855,10,630,27000,13855,1.51
 2021,Meriwether,GA,"Meriwether, GA",44305,8,1083,46414,-2109,0.95
 2019,Merrick,NE,"Merrick, NE",48814,0,836,35829,12985,1.36
 2020,Merrick,NE,"Merrick, NE",52538,8,765,32786,19752,1.6
 2021,Merrick,NE,"Merrick, NE",56823,8,747,32014,24809,1.77
 2019,Merrimack,NH,"Merrimack, NH",60412,0,1489,63814,-3402,0.95
 2020,Merrimack,NH,"Merrimack, NH",64478,7,1564,67029,-2551,0.96
 2021,Merrimack,NH,"Merrimack, NH",68222,6,1983,84986,-16764,0.8
 2019,Mesa,CO,"Mesa, CO",46318,0,1565,67071,-20753,0.69
 2020,Mesa,CO,"Mesa, CO",48884,6,1810,77571,-28687,0.63
 2021,Mesa,CO,"Mesa, CO",52121,7,2095,89786,-37665,0.58
 2019,Metcalfe,KY,"Metcalfe, KY",31241,0,468,20057,11184,1.56
 2020,Metcalfe,KY,"Metcalfe, KY",34628,11,570,24429,10199,1.42
 2021,Metcalfe,KY,"Metcalfe, KY",38284,11,823,35271,3013,1.09
 2019,Miami-dade,FL,"Miami-dade, FL",56137,0,2170,93000,-36863,0.6
 2020,Miami-dade,FL,"Miami-dade, FL",57713,3,2269,97243,-39530,0.59
 2021,Miami-dade,FL,"Miami-dade, FL",64849,12,2636,112971,-48122,0.57
 2019,Miami,IN,"Miami, IN",34864,0,397,17014,17850,2.05
 2020,Miami,IN,"Miami, IN",37084,6,419,17957,19127,2.07
 2021,Miami,IN,"Miami, IN",40179,8,511,21900,18279,1.83
 2019,Miami,KS,"Miami, KS",50184,0,1027,44014,6170,1.14
 2020,Miami,KS,"Miami, KS",53526,7,1185,50786,2740,1.05
 2021,Miami,KS,"Miami, KS",56719,6,1475,63214,-6495,0.9
 2019,Miami,OH,"Miami, OH",48319,0,885,37929,10390,1.27
 2020,Miami,OH,"Miami, OH",51963,8,1231,52757,-794,0.98
 2021,Miami,OH,"Miami, OH",54947,6,1195,51214,3733,1.07
 2019,Middlesex,CT,"Middlesex, CT",68546,0,1713,73414,-4868,0.93
 2020,Middlesex,CT,"Middlesex, CT",71602,5,1806,77400,-5798,0.93
 2021,Middlesex,CT,"Middlesex, CT",74453,4,2214,94886,-20433,0.78
 2019,Middlesex,MA,"Middlesex, MA",87174,0,3034,130029,-42855,0.67
 2020,Middlesex,MA,"Middlesex, MA",92013,6,3335,142929,-50916,0.64
 2021,Middlesex,MA,"Middlesex, MA",98523,7,3461,148329,-49806,0.66
 2019,Middlesex,NJ,"Middlesex, NJ",61440,0,1682,72086,-10646,0.85
 2020,Middlesex,NJ,"Middlesex, NJ",64920,6,1806,77400,-12480,0.84
 2021,Middlesex,NJ,"Middlesex, NJ",70221,8,1943,83271,-13050,0.84
 2019,Middlesex,VA,"Middlesex, VA",53640,0,1412,60514,-6874,0.89
 2020,Middlesex,VA,"Middlesex, VA",56167,5,1623,69557,-13390,0.81
 2021,Middlesex,VA,"Middlesex, VA",59146,5,2071,88757,-29611,0.67
 2019,Mifflin,PA,"Mifflin, PA",40116,0,499,21386,18730,1.88
 2020,Mifflin,PA,"Mifflin, PA",44040,10,484,20743,23297,2.12
 2021,Mifflin,PA,"Mifflin, PA",46768,6,651,27900,18868,1.68
 2019,Milam,TX,"Milam, TX",38124,0,938,40200,-2076,0.95
 2020,Milam,TX,"Milam, TX",41208,8,952,40800,408,1.01
 2021,Milam,TX,"Milam, TX",45286,10,1492,63943,-18657,0.71
 2019,Millard,UT,"Millard, UT",38283,0,1010,43286,-5003,0.88
 2020,Millard,UT,"Millard, UT",40959,7,1008,43200,-2241,0.95
 2021,Millard,UT,"Millard, UT",44281,8,969,41529,2752,1.07
 2019,Mille Lacs,MN,"Mille Lacs, MN",43509,0,1186,50829,-7320,0.86
 2020,Mille Lacs,MN,"Mille Lacs, MN",47312,9,1096,46971,341,1.01
 2021,Mille Lacs,MN,"Mille Lacs, MN",50104,6,1526,65400,-15296,0.77
 2019,Miller,AR,"Miller, AR",35023,0,791,33900,1123,1.03
 2020,Miller,AR,"Miller, AR",37832,8,813,34843,2989,1.09
 2021,Miller,AR,"Miller, AR",40319,7,796,34114,6205,1.18
 2019,Miller,GA,"Miller, GA",43901,0,576,24686,19215,1.78
 2020,Miller,GA,"Miller, GA",46907,7,700,30000,16907,1.56
 2021,Miller,GA,"Miller, GA",50213,7,1001,42900,7313,1.17
 2019,Miller,MO,"Miller, MO",37824,0,995,42643,-4819,0.89
 2020,Miller,MO,"Miller, MO",41385,9,1102,47229,-5844,0.88
 2021,Miller,MO,"Miller, MO",43510,5,1822,78086,-34576,0.56
 2019,Mills,IA,"Mills, IA",59887,0,743,31843,28044,1.88
 2020,Mills,IA,"Mills, IA",61481,3,1223,52414,9067,1.17
 2021,Mills,IA,"Mills, IA",66042,7,1041,44614,21428,1.48
 2019,Mills,TX,"Mills, TX",43994,0,839,35957,8037,1.22
 2020,Mills,TX,"Mills, TX",49340,12,949,40671,8669,1.21
 2021,Mills,TX,"Mills, TX",51712,5,1775,76071,-24359,0.68
 2019,Milwaukee,WI,"Milwaukee, WI",48239,0,769,32957,15282,1.46
 2020,Milwaukee,WI,"Milwaukee, WI",51567,7,819,35100,16467,1.47
 2021,Milwaukee,WI,"Milwaukee, WI",55927,9,941,40329,15598,1.39
 2019,Miner,SD,"Miner, SD",47793,0,194,8314,39479,5.75
 2020,Miner,SD,"Miner, SD",58389,22,942,40371,18018,1.45
 2021,Miner,SD,"Miner, SD",65438,12,802,34371,31067,1.9
 2019,Mineral,CO,"Mineral, CO",66224,0,2061,88329,-22105,0.75
 2020,Mineral,CO,"Mineral, CO",67967,3,2487,106586,-38619,0.64
 2021,Mineral,CO,"Mineral, CO",70250,3,1591,68186,2064,1.03
 2019,Mineral,MT,"Mineral, MT",40374,0,1627,69729,-29355,0.58
 2020,Mineral,MT,"Mineral, MT",44492,10,1347,57729,-13237,0.77
 2021,Mineral,MT,"Mineral, MT",45966,3,3771,161614,-115648,0.28
 2019,Mineral,NV,"Mineral, NV",41053,0,629,26957,14096,1.52
 2020,Mineral,NV,"Mineral, NV",47029,15,624,26743,20286,1.76
 2021,Mineral,NV,"Mineral, NV",48836,4,672,28800,20036,1.7
 2019,Mineral,WV,"Mineral, WV",42607,0,772,33086,9521,1.29
 2020,Mineral,WV,"Mineral, WV",45398,7,679,29100,16298,1.56
 2021,Mineral,WV,"Mineral, WV",48155,6,757,32443,15712,1.48
 2019,Mingo,WV,"Mingo, WV",33117,0,395,16929,16188,1.96
 2020,Mingo,WV,"Mingo, WV",34489,4,407,17443,17046,1.98
 2021,Mingo,WV,"Mingo, WV",37396,8,516,22114,15282,1.69
 2019,Minidoka,ID,"Minidoka, ID",39944,0,919,39386,558,1.01
 2020,Minidoka,ID,"Minidoka, ID",43848,10,1107,47443,-3595,0.92
 2021,Minidoka,ID,"Minidoka, ID",45273,3,1680,72000,-26727,0.63
 2019,Minnehaha,SD,"Minnehaha, SD",62031,0,1086,46543,15488,1.33
 2020,Minnehaha,SD,"Minnehaha, SD",66044,7,1135,48643,17401,1.36
 2021,Minnehaha,SD,"Minnehaha, SD",69693,6,1308,56057,13636,1.24
 2019,Missaukee,MI,"Missaukee, MI",36752,0,685,29357,7395,1.25
 2020,Missaukee,MI,"Missaukee, MI",41488,13,912,39086,2402,1.06
 2021,Missaukee,MI,"Missaukee, MI",43609,5,1125,48214,-4605,0.9
 2019,Mississippi,AR,"Mississippi, AR",35086,0,478,20486,14600,1.71
 2020,Mississippi,AR,"Mississippi, AR",38264,9,399,17100,21164,2.24
 2021,Mississippi,AR,"Mississippi, AR",42273,11,461,19757,22516,2.14
 2019,Mississippi,MO,"Mississippi, MO",31911,0,519,22243,9668,1.43
 2020,Mississippi,MO,"Mississippi, MO",36534,15,393,16843,19691,2.17
 2021,Mississippi,MO,"Mississippi, MO",39424,8,503,21557,17867,1.83
 2019,Missoula,MT,"Missoula, MT",53992,0,1860,79714,-25722,0.68
 2020,Missoula,MT,"Missoula, MT",57895,7,2076,88971,-31076,0.65
 2021,Missoula,MT,"Missoula, MT",61881,7,3363,144129,-82248,0.43
 2019,Mitchell,GA,"Mitchell, GA",36055,0,493,21129,14926,1.71
 2020,Mitchell,GA,"Mitchell, GA",39267,9,571,24471,14796,1.6
 2021,Mitchell,GA,"Mitchell, GA",42397,8,673,28843,13554,1.47
 2019,Mitchell,IA,"Mitchell, IA",63627,0,547,23443,40184,2.71
 2020,Mitchell,IA,"Mitchell, IA",58720,-8,470,20143,38577,2.92
 2021,Mitchell,IA,"Mitchell, IA",63605,8,1054,45171,18434,1.41
 2019,Mitchell,KS,"Mitchell, KS",61496,0,475,20357,41139,3.02
 2020,Mitchell,KS,"Mitchell, KS",70316,14,1029,44100,26216,1.59
 2021,Mitchell,KS,"Mitchell, KS",71245,1,503,21557,49688,3.3
 2019,Mitchell,NC,"Mitchell, NC",37938,0,1092,46800,-8862,0.81
 2020,Mitchell,NC,"Mitchell, NC",40735,7,1255,53786,-13051,0.76
 2021,Mitchell,NC,"Mitchell, NC",43973,8,1470,63000,-19027,0.7
 2019,Mitchell,TX,"Mitchell, TX",33045,0,401,17186,15859,1.92
 2020,Mitchell,TX,"Mitchell, TX",33486,1,382,16371,17115,2.05
 2021,Mitchell,TX,"Mitchell, TX",35417,6,446,19114,16303,1.85
 2019,Mobile,AL,"Mobile, AL",39453,0,776,33257,6196,1.19
 2020,Mobile,AL,"Mobile, AL",42837,9,872,37371,5466,1.15
 2021,Mobile,AL,"Mobile, AL",46418,8,953,40843,5575,1.14
 2019,Modoc,CA,"Modoc, CA",46245,0,840,36000,10245,1.28
 2020,Modoc,CA,"Modoc, CA",52459,13,805,34500,17959,1.52
 2021,Modoc,CA,"Modoc, CA",54301,4,1261,54043,258,1
 2019,Moffat,CO,"Moffat, CO",41744,0,786,33686,8058,1.24
 2020,Moffat,CO,"Moffat, CO",45652,9,1026,43971,1681,1.04
 2021,Moffat,CO,"Moffat, CO",49227,8,1202,51514,-2287,0.96
 2019,Mohave,AZ,"Mohave, AZ",35647,0,1381,59186,-23539,0.6
 2020,Mohave,AZ,"Mohave, AZ",38717,9,1559,66814,-28097,0.58
 2021,Mohave,AZ,"Mohave, AZ",41331,7,1642,70371,-29040,0.59
 2019,Moniteau,MO,"Moniteau, MO",38417,0,494,21171,17246,1.81
 2020,Moniteau,MO,"Moniteau, MO",43446,13,650,27857,15589,1.56
 2021,Moniteau,MO,"Moniteau, MO",46530,7,783,33557,12973,1.39
 2019,Monmouth,NJ,"Monmouth, NJ",82513,0,2484,106457,-23944,0.78
 2020,Monmouth,NJ,"Monmouth, NJ",86029,4,2648,113486,-27457,0.76
 2021,Monmouth,NJ,"Monmouth, NJ",92119,7,2920,125143,-33024,0.74
 2019,Mono,CA,"Mono, CA",55369,0,2575,110357,-54988,0.5
 2020,Mono,CA,"Mono, CA",61649,11,3045,130500,-68851,0.47
 2021,Mono,CA,"Mono, CA",64164,4,4190,179571,-115407,0.36
 2019,Monona,IA,"Monona, IA",46043,0,559,23957,22086,1.92
 2020,Monona,IA,"Monona, IA",49494,8,672,28800,20694,1.72
 2021,Monona,IA,"Monona, IA",57720,17,652,27943,29777,2.07
 2019,Monongalia,WV,"Monongalia, WV",48091,0,1277,54729,-6638,0.88
 2020,Monongalia,WV,"Monongalia, WV",49890,4,1413,60557,-10667,0.82
 2021,Monongalia,WV,"Monongalia, WV",52576,5,1407,60300,-7724,0.87
 2019,Monroe,AL,"Monroe, AL",35416,0,649,27814,7602,1.27
 2020,Monroe,AL,"Monroe, AL",39339,11,628,26914,12425,1.46
 2021,Monroe,AL,"Monroe, AL",42872,9,871,37329,5543,1.15
 2019,Monroe,AR,"Monroe, AR",33835,0,533,22843,10992,1.48
 2020,Monroe,AR,"Monroe, AR",40187,19,357,15300,24887,2.63
 2021,Monroe,AR,"Monroe, AR",41783,4,586,25114,16669,1.66
 2019,Monroe,FL,"Monroe, FL",98415,0,3496,149829,-51414,0.66
 2020,Monroe,FL,"Monroe, FL",99764,1,3839,164529,-64765,0.61
 2021,Monroe,FL,"Monroe, FL",109136,9,5716,244971,-135835,0.45
 2019,Monroe,GA,"Monroe, GA",47038,0,1428,61200,-14162,0.77
 2020,Monroe,GA,"Monroe, GA",49781,6,1830,78429,-28648,0.63
 2021,Monroe,GA,"Monroe, GA",52718,6,1692,72514,-19796,0.73
 2019,Monroe,IA,"Monroe, IA",46202,0,441,18900,27302,2.44
 2020,Monroe,IA,"Monroe, IA",49319,7,711,30471,18848,1.62
 2021,Monroe,IA,"Monroe, IA",52821,7,652,27943,24878,1.89
 2019,Monroe,IL,"Monroe, IL",58859,0,1326,56829,2030,1.04
 2020,Monroe,IL,"Monroe, IL",61273,4,1337,57300,3973,1.07
 2021,Monroe,IL,"Monroe, IL",65224,6,1545,66214,-990,0.99
 2019,Monroe,IN,"Monroe, IN",46097,0,1348,57771,-11674,0.8
 2020,Monroe,IN,"Monroe, IN",48974,6,1591,68186,-19212,0.72
 2021,Monroe,IN,"Monroe, IN",52392,7,1741,74614,-22222,0.7
 2019,Monroe,KY,"Monroe, KY",35242,0,456,19543,15699,1.8
 2020,Monroe,KY,"Monroe, KY",39461,12,696,29829,9632,1.32
 2021,Monroe,KY,"Monroe, KY",44045,12,782,33514,10531,1.31
 2019,Monroe,MI,"Monroe, MI",47726,0,940,40286,7440,1.18
 2020,Monroe,MI,"Monroe, MI",50472,6,991,42471,8001,1.19
 2021,Monroe,MI,"Monroe, MI",53509,6,1145,49071,4438,1.09
 2019,Monroe,MO,"Monroe, MO",41106,0,518,22200,18906,1.85
 2020,Monroe,MO,"Monroe, MO",43467,6,490,21000,22467,2.07
 2021,Monroe,MO,"Monroe, MO",47215,9,835,35786,11429,1.32
 2019,Monroe,MS,"Monroe, MS",37602,0,486,20829,16773,1.81
 2020,Monroe,MS,"Monroe, MS",40976,9,667,28586,12390,1.43
 2021,Monroe,MS,"Monroe, MS",44332,8,638,27343,16989,1.62
 2019,Monroe,NY,"Monroe, NY",53057,0,939,40243,12814,1.32
 2020,Monroe,NY,"Monroe, NY",57252,8,1058,45343,11909,1.26
 2021,Monroe,NY,"Monroe, NY",60046,5,874,37457,22589,1.6
 2019,Monroe,OH,"Monroe, OH",38342,0,905,38786,-444,0.99
 2020,Monroe,OH,"Monroe, OH",42900,12,773,33129,9771,1.29
 2021,Monroe,OH,"Monroe, OH",43844,2,663,28414,15430,1.54
 2019,Monroe,PA,"Monroe, PA",45196,0,847,36300,8896,1.25
 2020,Monroe,PA,"Monroe, PA",49469,10,913,39129,10340,1.26
 2021,Monroe,PA,"Monroe, PA",53118,7,1429,61243,-8125,0.87
 2019,Monroe,TN,"Monroe, TN",36325,0,1064,45600,-9275,0.8
 2020,Monroe,TN,"Monroe, TN",39204,8,1187,50871,-11667,0.77
 2021,Monroe,TN,"Monroe, TN",42276,8,1424,61029,-18753,0.69
 2019,Monroe,WI,"Monroe, WI",42543,0,877,37586,4957,1.13
